rank,mandi_id,predicted_price
1,MANDI029,2234.58
2,MANDI011,2228.07
3,MANDI045,2227.93
4,MANDI033,2227.93
5,MANDI046,2227.93
6,MANDI022,2227.93
7,MANDI040,2227.93
8,MANDI028,2227.93
9,MANDI026,2227.93
10,MANDI027,2227.93
11,MANDI050,2227.93
12,MANDI010,2227.93
13,MANDI005,2227.93
14,MANDI020,2227.93
15,MANDI042,2227.93
16,MANDI002,2227.93
17,MANDI013,2227.93
18,MANDI031,2227.93
19,MANDI015,2227.93
20,MANDI039,2227.93
21,MANDI041,2227.93
22,MANDI007,2227.93
23,MANDI014,2227.93
24,MANDI024,2227.93
25,MANDI025,2227.93
26,MANDI036,2227.93
27,MANDI003,2227.93
28,MANDI017,2227.93
29,MANDI018,2227.93
30,MANDI009,2227.93
31,MANDI032,2227.93
32,MANDI043,2227.93
33,MANDI030,2227.93
34,MANDI049,2227.93
35,MANDI056,2227.93
36,MANDI053,2227.93
37,MANDI047,2227.93
38,MANDI004,2227.93
39,MANDI034,2227.93
40,MANDI048,2227.93
41,MANDI035,2227.93
42,MANDI008,2227.93
43,MANDI057,2227.93
44,MANDI054,2227.93
45,MANDI016,2227.93
46,MANDI006,2227.93
47,MANDI037,2227.93
48,MANDI001,2227.93
49,MANDI012,2227.93
50,MANDI019,2227.93
51,MANDI052,2227.93
52,MANDI021,2227.93
53,MANDI038,2227.93
54,MANDI055,2227.93
55,MANDI051,2227.93
56,MANDI023,2227.93
57,MANDI044,2227.62
