arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,arrival_qtl,date_dt,date_str,mandi_name,district,state
ARR0016270,01/01/2026,MANDI033,Mustard,,37213.0,KG,60,372.13,2026-01-01,2026-01-01,South Dumdum Grain Market,Ambala,Haryana
ARR0011998,01-01-2026,MANDI050,Sugarcane,,153.82 qtl,,9,153.82,2026-01-01,2026-01-01,Durg Market,Muzaffarnagar,Uttar Pradesh
ARR0013346,01-Jan-2026,MANDI048,Wheat,Premium,26.826999999999998,T,45,268.27,2026-01-01,2026-01-01,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
ARR0024429,01-Jan-2026,MANDI039,Wheat,Local,44313.0,KG,49,443.13,2026-01-01,2026-01-01,Anand Grain Market,Kurukshetra,Haryana
ARR0015663,01.01.2026,MANDI001,Maize,,"9,473.0 KG",,62,9.0,2026-01-01,2026-01-01,Hyderabad Mandi,Ludhiana,Punjab
ARR0014562,01-Jan-2026,MANDI047,Maize,Hybrid,10222.0,KGS,109,102.22,2026-01-01,2026-01-01,Orai Market,Muzaffarnagar,Uttar Pradesh
ARR0021453,2026-01-01,MANDI043,Sugarcane,HD-2967,"14,099.0 KG",,117,14.0,2026-01-01,2026-01-01,Danapur Mandi,Agra,Uttar Pradesh
ARR0023557,01/01/2026,MANDI032,Rice,PBW-343,38508.0,Kgs,50,385.08,2026-01-01,2026-01-01,Chapra Grain Market,Ambala,Haryana
ARR0011701,2026/01/01,MANDI057,Cotton,Hybrid,12337.0,Kgs,75,123.37,2026-01-01,2026-01-01,Gorakhpur APMC,Bareilly,Uttar Pradesh
ARR0000627,01-Jan-2026,MANDI049,Sugarcane,,"18,084.0 KG",,38,18.0,2026-01-01,2026-01-01,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0022832,01-Jan-2026,MANDI011,Mustard,PBW-343,-124.28,Qtl,71,124.28,2026-01-01,2026-01-01,Arrah Mandi,Patiala,Punjab
ARR0000627,01-Jan-2026,MANDI049,Sugarcane,,"18,084.0 KG",,38,18.0,2026-01-01,2026-01-01,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0005413,01.01.2026,MANDI001,Sugarcane,Pusa-1121,49991.0,Kilo,83,499.91,2026-01-01,2026-01-01,Hyderabad Mandi,Ludhiana,Punjab
ARR0006564,2026-01-01,MANDI026,Wheat,Local,32719.0,KG,52,327.19,2026-01-01,2026-01-01,Tadipatri Mandi,Hisar,Haryana
ARR0022763,01-Jan-2026,MANDI008,Cotton,Pusa-1121,254.13 qtl,,8,254.13,2026-01-01,2026-01-01,Bijapur Market,Amritsar,Punjab
ARR0024877,2026/01/01,MANDI001,Maize,Hybrid,13.783000000000001,T,50,137.83,2026-01-01,2026-01-01,Hyderabad Mandi,Ludhiana,Punjab
ARR0000525,01-Jan-2026,MANDI047,Maize,HD-2967,15.708000000000002,MT,67,157.08,2026-01-01,2026-01-01,Orai Market,Muzaffarnagar,Uttar Pradesh
ARR0014810,2026-01-01,MANDI027,Rice,HD-2967,35618.0,KG,50,356.18,2026-01-01,2026-01-01,Kochi APMC,Hisar,Haryana
ARR0000988,01/01/2026,MANDI048,Rice,Pusa-1121,108.2,Quintals,147,108.2,2026-01-01,2026-01-01,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
ARR0010230,01-Jan-2026,MANDI016,Mustard,Pusa-1121,20.094,MT,11,200.94,2026-01-01,2026-01-01,Kulti APMC,Bathinda,Punjab
ARR0013890,01-01-2026,MANDI025,Wheat,HD-2967,10918.0,KG,50,109.18,2026-01-01,2026-01-01,Dindigul APMC,Karnal,Haryana
ARR0010462,01-01-2026,MANDI032,Sugarcane,Pusa-1121,205.0,Q,65,205.0,2026-01-01,2026-01-01,Chapra Grain Market,Ambala,Haryana
ARR0015647,2026-01-01,MANDI052,Wheat,,"22,676.0 KG",,50,22.0,2026-01-01,2026-01-01,Kakinada APMC,Saharanpur,Uttar Pradesh
ARR0008871,2026/01/01,MANDI036,Wheat,Pusa-1121,42.31,T,129,423.1,2026-01-01,2026-01-01,Mysore Grain Market,Kurukshetra,Haryana
ARR0003704,2026/01/01,MANDI010,Cotton,Premium,-34.57,KG,7,0.35,2026-01-01,2026-01-01,Dhule APMC,Jalandhar,Punjab
ARR0023576,01-Jan-2026,MANDI053,Maize,Hybrid,34738.0,Kgs,86,347.38,2026-01-01,2026-01-01,Panihati Market,Saharanpur,Uttar Pradesh
ARR0013436,01.01.2026,MANDI003,Mustard,,4601.0,Kilo,62,46.01,2026-01-01,2026-01-01,Vijayawada Mandi,Ludhiana,Punjab
ARR0014111,01-01-2026,MANDI045,Wheat,,23565.0,KGS,23,235.65,2026-01-01,2026-01-01,Farrukhabad Mandi,Meerut,Uttar Pradesh
ARR0023950,01/01/2026,MANDI043,Cotton,Premium,29.063,MT,50,290.63,2026-01-01,2026-01-01,Danapur Mandi,Agra,Uttar Pradesh
ARR0017313,01-01-2026,MANDI052,Rice,HD-2967,312.09 qtl,,136,312.09,2026-01-01,2026-01-01,Kakinada APMC,Saharanpur,Uttar Pradesh
ARR0019773,2026-01-01,MANDI031,Mustard,HD-2967,"41,017.0 KG",,80,41.0,2026-01-01,2026-01-01,Nangloi Jat Mandi,Sirsa,Haryana
ARR0004189,01-Jan-2026,MANDI048,Mustard,,200.06 qtl,,50,200.06,2026-01-01,2026-01-01,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
ARR0020253,01.01.2026,MANDI037,Cotton,PBW-343,13.622,Tonnes,41,136.22,2026-01-01,2026-01-01,Jorhat Grain Market,Kurukshetra,Haryana
ARR0005127,01/01/2026,MANDI028,Wheat,Pusa-1121,8156.999999999999,KG,31,81.57,2026-01-01,2026-01-01,Machilipatnam APMC,Hisar,Haryana
ARR0001909,01/01/2026,MANDI013,Maize,Premium,12872.0,Kgs,25,128.72,2026-01-01,2026-01-01,Aurangabad Market,Patiala,Punjab
ARR0013947,2026/01/01,MANDI004,Sugarcane,PBW-343,428.33,Q,145,428.33,2026-01-01,2026-01-01,Khandwa Grain Market,Ludhiana,Punjab
ARR0015185,2026/01/01,MANDI041,Mustard,Pusa-1121,"34,989.0 KG",,65,34.0,2026-01-01,2026-01-01,Gurgaon Grain Market,Fatehabad,Haryana
ARR0020033,01.01.2026,MANDI035,Cotton,Premium,3404.0,kg,31,34.04,2026-01-01,2026-01-01,Guntakal Mandi,Ambala,Haryana
ARR0008920,01.01.2026,MANDI057,Mustard,Pusa-1121,19.502000000000002,Tonnes,150,195.02,2026-01-01,2026-01-01,Gorakhpur APMC,Bareilly,Uttar Pradesh
ARR0013258,01/01/2026,MANDI021,Mustard,,"19,363.0 KG",,30,19.0,2026-01-01,2026-01-01,Guna Mandi,Ferozepur,Punjab
ARR0015800,01-Jan-2026,MANDI037,Rice,PBW-343,36819.0,KGS,50,368.19,2026-01-01,2026-01-01,Jorhat Grain Market,Kurukshetra,Haryana
ARR0019756,01-Jan-2026,MANDI018,Wheat,Premium,31254.000000000004,KGS,69,312.54,2026-01-01,2026-01-01,Jaunpur Mandi,Moga,Punjab
ARR0003386,01.01.2026,MANDI032,Rice,Local,247.61,quintal,7,247.61,2026-01-01,2026-01-01,Chapra Grain Market,Ambala,Haryana
ARR0016803,01.01.2026,MANDI029,Cotton,Hybrid,33.588,Tonnes,97,335.88,2026-01-01,2026-01-01,Asansol Grain Market,Sirsa,Haryana
ARR0023086,2026/01/01,MANDI039,Mustard,Local,251.04 qtl,,12,251.04,2026-01-01,2026-01-01,Anand Grain Market,Kurukshetra,Haryana
ARR0004747,2026-01-01,MANDI036,Wheat,Hybrid,287.74,Qtl,74,287.74,2026-01-01,2026-01-01,Mysore Grain Market,Kurukshetra,Haryana
ARR0021312,01-01-2026,MANDI044,Rice,,39.974000000000004,MT,50,399.74,2026-01-01,2026-01-01,Dehri Mandi,Agra,Uttar Pradesh
ARR0018822,01-Jan-2026,MANDI022,Mustard,,314.23,Quintals,56,314.23,2026-01-01,2026-01-01,Eluru APMC,Karnal,Haryana
ARR0004539,2026-01-01,MANDI040,Cotton,Premium,-154.16,KG,44,1.54,2026-01-01,2026-01-01,Jodhpur Market,Fatehabad,Haryana
ARR0018128,01.01.2026,MANDI028,Sugarcane,Local,33675.0,kg,82,336.75,2026-01-01,2026-01-01,Machilipatnam APMC,Hisar,Haryana
ARR0010579,01-Jan-2026,MANDI018,Sugarcane,Premium,266.61,qtl,149,266.61,2026-01-01,2026-01-01,Jaunpur Mandi,Moga,Punjab
ARR0002289,01.01.2026,MANDI023,Maize,Premium,32492.0,Kgs,126,324.92,2026-01-01,2026-01-01,Panihati APMC,Karnal,Haryana
ARR0015675,01-Jan-2026,MANDI039,Cotton,HD-2967,3.568,Tonnes,106,35.68,2026-01-01,2026-01-01,Anand Grain Market,Kurukshetra,Haryana
ARR0009660,01-Jan-2026,MANDI049,Wheat,Premium,317.91 qtl,,102,317.91,2026-01-01,2026-01-01,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
ARR0013213,01-01-2026,MANDI055,Cotton,,66.1,Qtl,50,66.1,2026-01-01,2026-01-01,Chandigarh APMC,Bareilly,Uttar Pradesh
ARR0009418,01/01/2026,MANDI023,Mustard,HD-2967,25.281,tonnes,30,252.81,2026-01-01,2026-01-01,Panihati APMC,Karnal,Haryana
ARR0018434,2026/01/01,MANDI006,Maize,HD-2967,19.887,MT,26,198.87,2026-01-01,2026-01-01,Kochi Mandi,Amritsar,Punjab
ARR0008680,01-01-2026,MANDI009,Maize,Hybrid,131.6,Q,36,131.6,2026-01-01,2026-01-01,Jamshedpur APMC,Jalandhar,Punjab
ARR0001033,01-01-2026,MANDI007,Cotton,Premium,30466.000000000004,kg,68,304.66,2026-01-01,2026-01-01,Nashik Mandi,Amritsar,Punjab
ARR0023316,01-Jan-2026,MANDI037,Maize,Local,399.22,quintal,148,399.22,2026-01-01,2026-01-01,Jorhat Grain Market,Kurukshetra,Haryana
ARR0000712,2026/01/01,MANDI034,Wheat,Hybrid,38913.0,KGS,55,389.13,2026-01-01,2026-01-01,Ludhiana Grain Market,Ambala,Haryana
ARR0013926,01-01-2026,MANDI013,Sugarcane,Premium,"44,449.0 KG",,149,44.0,2026-01-01,2026-01-01,Aurangabad Market,Patiala,Punjab
ARR0010352,2026-01-01,MANDI043,Cotton,HD-2967,43.763,MT,55,437.63,2026-01-01,2026-01-01,Danapur Mandi,Agra,Uttar Pradesh
ARR0010253,01/01/2026,MANDI054,Wheat,HD-2967,18050.0,kg,80,180.5,2026-01-01,2026-01-01,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
ARR0018533,01-Jan-2026,MANDI027,Cotton,Pusa-1121,12.773,T,57,127.73,2026-01-01,2026-01-01,Kochi APMC,Hisar,Haryana
ARR0000790,2026/01/01,MANDI052,Rice,,391.11,qtl,50,391.11,2026-01-01,2026-01-01,Kakinada APMC,Saharanpur,Uttar Pradesh
ARR0001677,2026-01-01,MANDI046,Wheat,Local,180.44,qtl,50,180.44,2026-01-01,2026-01-01,Baranagar Market,Muzaffarnagar,Uttar Pradesh
ARR0020067,01-01-2026,MANDI009,Cotton,Pusa-1121,14397.0,kg,60,143.97,2026-01-01,2026-01-01,Jamshedpur APMC,Jalandhar,Punjab
ARR0012676,01-01-2026,MANDI018,Cotton,HD-2967,10998.0,Kgs,58,109.98,2026-01-01,2026-01-01,Jaunpur Mandi,Moga,Punjab
ARR0014090,01-Jan-2026,MANDI040,Maize,,21023.0,Kgs,73,210.23,2026-01-01,2026-01-01,Jodhpur Market,Fatehabad,Haryana
ARR0006490,01-01-2026,MANDI027,Mustard,,"24,273.0 KG",,129,24.0,2026-01-01,2026-01-01,Kochi APMC,Hisar,Haryana
ARR0003015,01-01-2026,MANDI045,Wheat,Local,241.31,Q,76,241.31,2026-01-01,2026-01-01,Farrukhabad Mandi,Meerut,Uttar Pradesh
ARR0007449,01.01.2026,MANDI040,Rice,Hybrid,183.34,Q,20,183.34,2026-01-01,2026-01-01,Jodhpur Market,Fatehabad,Haryana
ARR0010764,01/01/2026,MANDI007,Rice,Local,7014.0,Kgs,50,70.14,2026-01-01,2026-01-01,Nashik Mandi,Amritsar,Punjab
ARR0018668,2026-01-01,MANDI015,Rice,Premium,10663.0,KG,27,106.63,2026-01-01,2026-01-01,Amravati Grain Market,Bathinda,Punjab
,01-Jan-2026,MANDI050,Cotton,PBW-343,326.77,quintal,50,326.77,2026-01-01,2026-01-01,Durg Market,Muzaffarnagar,Uttar Pradesh
ARR0020499,01/01/2026,MANDI020,Rice,Hybrid,38.19,MT,48,381.9,2026-01-01,2026-01-01,Kadapa Mandi,Ferozepur,Punjab
ARR0003196,01/01/2026,MANDI008,Maize,Hybrid,441.14 qtl,,50,441.14,2026-01-01,2026-01-01,Bijapur Market,Amritsar,Punjab
