mandi_id,mandi_name,district,state,mandi_type,total_area_acres,lat,lng
MANDI001,Hyderabad Mandi,Ludhiana,Punjab,PRIVATE,11.0,30.901,75.8573
MANDI006,Kochi Mandi,Amritsar,Punjab,DIRECT,34.0,31.634,74.8723
MANDI037,Jorhat Grain Market,Kurukshetra,Haryana,APMC,28.0,29.9695,76.8783
MANDI046,Baranagar Market,Muzaffarnagar,Uttar Pradesh,PRIVATE,13.0,29.4727,77.7085
MANDI014,Bathinda Grain Market,Patiala,Punjab,PRIVATE,25.0,30.3398,76.3869
MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC,12.0,28.367,79.4304
MANDI034,Ludhiana Grain Market,Ambala,Haryana,APMC,11.0,30.3782,76.7767
MANDI049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,PRIVATE,39.0,29.4727,77.7085
MANDI013,Aurangabad Market,Patiala,Punjab,PRIVATE,25.0,30.3398,76.3869
MANDI047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,28.0,29.4727,77.7085
MANDI051,Gulbarga Market,Saharanpur,Uttar Pradesh,PRIVATE,11.0,29.964,77.546
MANDI032,Chapra Grain Market,Ambala,Haryana,PRIVATE,20.0,30.3782,76.7767
MANDI004,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,30.901,75.8573
MANDI053,Panihati Market,Saharanpur,Uttar Pradesh,APMC,28.0,29.964,77.546
MANDI018,Jaunpur Mandi,Moga,Punjab,APMC,9.0,30.8165,75.1717
MANDI009,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,31.326,75.5762
MANDI007,Nashik Mandi,Amritsar,Punjab,PRIVATE,45.0,31.634,74.8723
MANDI041,Gurgaon Grain Market,Fatehabad,Haryana,APMC,39.0,29.514,75.454
MANDI005,Bhilwara Grain Market,Amritsar,Punjab,DIRECT,29.0,31.634,74.8723
MANDI044,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0,27.1767,78.0081
MANDI020,Kadapa Mandi,Ferozepur,Punjab,DIRECT,26.0,30.9237,74.6122
MANDI035,Guntakal Mandi,Ambala,Haryana,APMC,17.0,30.3782,76.7767
MANDI026,Tadipatri Mandi,Hisar,Haryana,PRIVATE,35.0,29.1492,75.7217
MANDI057,Gorakhpur APMC,Bareilly,Uttar Pradesh,DIRECT,7.0,28.367,79.4304
MANDI016,Kulti APMC,Bathinda,Punjab,APMC,42.0,30.211,74.9455
MANDI028,Machilipatnam APMC,Hisar,Haryana,APMC,33.0,29.1492,75.7217
MANDI010,Dhule APMC,Jalandhar,Punjab,DIRECT,48.0,31.326,75.5762
MANDI031,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0,29.5349,75.0298
MANDI027,Kochi APMC,Hisar,Haryana,APMC,39.0,29.1492,75.7217
MANDI017,Parbhani Market,Patiala,Punjab,PRIVATE,8.0,30.3398,76.3869
MANDI025,Dindigul APMC,Karnal,Haryana,APMC,28.0,29.6857,76.9905
MANDI056,Bilaspur Mandi,Bareilly,Uttar Pradesh,PRIVATE,28.0,28.367,79.4304
MANDI012,Gaya Grain Market,Patiala,Punjab,APMC,48.0,30.3398,76.3869
MANDI033,South Dumdum Grain Market,Ambala,Haryana,APMC,31.0,30.3782,76.7767
MANDI054,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh,DIRECT,45.0,29.964,77.546
MANDI042,Erode Mandi,Fatehabad,Haryana,PRIVATE,38.0,29.514,75.454
MANDI038,Jalandhar Mandi,Kurukshetra,Haryana,PRIVATE,36.0,29.9695,76.8783
MANDI030,Patiala APMC,Sirsa,Haryana,APMC,19.0,29.5349,75.0298
MANDI045,Farrukhabad Mandi,Meerut,Uttar Pradesh,PRIVATE,25.0,28.9845,77.7064
MANDI002,Solapur Mandi,Ludhiana,Punjab,APMC,37.0,30.901,75.8573
MANDI022,Eluru APMC,Karnal,Haryana,APMC,45.0,29.6857,76.9905
MANDI003,Vijayawada Mandi,Ludhiana,Punjab,APMC,19.0,30.901,75.8573
MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,DIRECT,27.0,29.4727,77.7085
MANDI040,Jodhpur Market,Fatehabad,Haryana,DIRECT,40.0,29.514,75.454
MANDI036,Mysore Grain Market,Kurukshetra,Haryana,APMC,9.0,29.9695,76.8783
MANDI024,Jaipur Mandi,Karnal,Haryana,APMC,24.0,29.6857,76.9905
MANDI050,Durg Market,Muzaffarnagar,Uttar Pradesh,APMC,47.0,29.4727,77.7085
MANDI011,Arrah Mandi,Patiala,Punjab,APMC,34.0,30.3398,76.3869
MANDI023,Panihati APMC,Karnal,Haryana,PRIVATE,38.0,29.6857,76.9905
MANDI019,Karimnagar Grain Market,Moga,Punjab,PRIVATE,40.0,30.8165,75.1717
MANDI021,Guna Mandi,Ferozepur,Punjab,APMC,21.0,30.9237,74.6122
MANDI008,Bijapur Market,Amritsar,Punjab,APMC,23.0,31.634,74.8723
MANDI043,Danapur Mandi,Agra,Uttar Pradesh,PRIVATE,28.0,27.1767,78.0081
MANDI015,Amravati Grain Market,Bathinda,Punjab,APMC,13.0,30.211,74.9455
MANDI029,Asansol Grain Market,Sirsa,Haryana,DIRECT,28.0,29.5349,75.0298
MANDI052,Kakinada APMC,Saharanpur,Uttar Pradesh,APMC,48.0,29.964,77.546
MANDI039,Anand Grain Market,Kurukshetra,Haryana,APMC,5.0,29.9695,76.8783
