record_id,date,mandi_id,crop_name,min_price,max_price,modal_price,msp,date_dt,date_str,is_price_crash,price_gap_vs_msp,price_ratio,mandi_name,district,state
PR006818,01/01/2026,MANDI012,Maize,2079.0,2556.57,2317.85,2090.0,2026-01-01,2026-01-01,False,227.85,1.109,Gaya Grain Market,Patiala,Punjab
PR004113,01-Jan-2026,MANDI020,Mustard,4923.81,5259.33,5092.0,5650.0,2026-01-01,2026-01-01,True,-558.0,0.901,Kadapa Mandi,Ferozepur,Punjab
PR001282,01-Jan-2026,MANDI033,Rice,2231.27,2400.56,2316.0,2183.0,2026-01-01,2026-01-01,False,133.0,1.061,South Dumdum Grain Market,Ambala,Haryana
PR009916,01-Jan-2026,MANDI042,Sugarcane,3442.79,4171.68,3807.24,3500.0,2026-01-01,2026-01-01,False,307.24,1.088,Erode Mandi,Fatehabad,Haryana
PR000836,2026-01-01,MANDI020,Wheat,1977.77,2147.83,2063.0,2275.0,2026-01-01,2026-01-01,True,-212.0,0.907,Kadapa Mandi,Ferozepur,Punjab
PR010500,01.01.2026,MANDI044,Maize,2093.5,2547.81,2321.0,2090.0,2026-01-01,2026-01-01,False,231.0,1.111,Dehri Mandi,Agra,Uttar Pradesh
PR011754,2026/01/01,MANDI014,Rice,2215.53,2460.0,2337.57,2183.0,2026-01-01,2026-01-01,False,154.57,1.071,Bathinda Grain Market,Patiala,Punjab
PR005833,01/01/2026,MANDI023,Mustard,4807.96,5908.4,5358.18,5650.0,2026-01-01,2026-01-01,True,-291.82,0.948,Panihati APMC,Karnal,Haryana
PR000435,01/01/2026,MANDI047,Cotton,5734.0,6167.06,5950.3,6620.0,2026-01-01,2026-01-01,True,-669.7,0.899,Orai Market,Muzaffarnagar,Uttar Pradesh
PR008883,01-Jan-2026,MANDI044,Maize,1996.47,2287.58,2142.02,2090.0,2026-01-01,2026-01-01,False,52.02,1.025,Dehri Mandi,Agra,Uttar Pradesh
PR003298,01-01-2026,MANDI004,Cotton,6673.83,7825.48,7249.66,6620.0,2026-01-01,2026-01-01,False,629.66,1.095,Khandwa Grain Market,Ludhiana,Punjab
PR005680,2026-01-01,MANDI057,Wheat,2057.0,2516.39,2286.56,2275.0,2026-01-01,2026-01-01,False,11.56,1.005,Gorakhpur APMC,Bareilly,Uttar Pradesh
PR008833,01/01/2026,MANDI009,Maize,1788.2,2101.34,1944.77,2090.0,2026-01-01,2026-01-01,True,-145.23,0.931,Jamshedpur APMC,Jalandhar,Punjab
PR005938,01-Jan-2026,MANDI017,Mustard,5912.47,6254.71,6083.59,5650.0,2026-01-01,2026-01-01,False,433.59,1.077,Parbhani Market,Patiala,Punjab
PR009318,01-Jan-2026,MANDI001,Maize,1954.0074999999997,2178.08,2056.85,2090.0,2026-01-01,2026-01-01,True,-33.15,0.984,Hyderabad Mandi,Ludhiana,Punjab
PR010869,2026-01-01,MANDI052,Mustard,5615.0,6480.56,6047.84,5650.0,2026-01-01,2026-01-01,False,397.84,1.07,Kakinada APMC,Saharanpur,Uttar Pradesh
PR003521,2026-01-01,MANDI001,Cotton,5647.19,6898.0,6272.0,6620.0,2026-01-01,2026-01-01,True,-348.0,0.947,Hyderabad Mandi,Ludhiana,Punjab
PR007967,01-Jan-2026,MANDI030,Maize,1896.0,2313.11,2104.71,2090.0,2026-01-01,2026-01-01,False,14.71,1.007,Patiala APMC,Sirsa,Haryana
PR004583,2026-01-01,MANDI031,Cotton,5820.0,6907.0,6363.59,6620.0,2026-01-01,2026-01-01,True,-256.41,0.961,Nangloi Jat Mandi,Sirsa,Haryana
PR007615,01-Jan-2026,MANDI008,Mustard,5579.67,6616.0,6097.65,5650.0,2026-01-01,2026-01-01,False,447.65,1.079,Bijapur Market,Amritsar,Punjab
