trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,dep_dt,arr_dt,expected_transit_hours,delay_hours,is_delayed,mandi_name,district,state
TRP006374,MANDI050,WH-Central,2026-04-30T20:08:22,01/05/2026 05:26,9.3,305.714532,miles,,DRV264,492.0,2026-04-30 20:08:22,2026-01-05 05:26:00,11.9,0.0,False,Durg Market,Muzaffarnagar,Uttar Pradesh
TRP008869,MANDI029,WH-West,04-10-2026 04:15 AM,10/04/2026 09:51,7.8,263.5,km,,DRV540,263.5,2026-04-10 04:15:00,2026-10-04 09:51:00,6.9,0.9,False,Asansol Grain Market,Sirsa,Haryana
TRP000674,MANDI024,WH-South,18/07/2026 16:34,07-18-2026 10:46 PM,6.2,276.5,km,UP 50 BC 6882,DRV722,276.5,2026-07-18 16:34:00,2026-07-18 22:46:00,7.1,0.0,False,Jaipur Mandi,Karnal,Haryana
TRP000036,MANDI042,WH-Central,08-13-2026 06:21 AM,14/08/2026,19.7,1070.7,km,RJ 52 CD 3274,DRV103,1070.7,2026-08-13 06:21:00,2026-08-14 00:00:00,24.8,0.0,False,Erode Mandi,Fatehabad,Haryana
TRP008288,MANDI019,WH-South,07-30-2026 10:51 PM,07-31-2026 03:57 PM,17.1,728.9,km,DL 73 DF 1458,,728.9,2026-07-30 22:51:00,2026-07-31 15:57:00,17.2,0.0,False,Karimnagar Grain Market,Moga,Punjab
TRP003456,MANDI038,Export-Terminal,07-25-2026 08:53 PM,,7.3,417.0,km,UP97 BC 6135,DRV255,417.0,2026-07-25 20:53:00,,10.3,0.0,False,Jalandhar Mandi,Kurukshetra,Haryana
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,05/07/2026 22:28,14.9,671.9,km,PB 99 BC 2796,DRV297,671.9,2026-07-05 07:34:30,2026-05-07 22:28:00,15.9,0.0,False,Gurgaon Grain Market,Fatehabad,Haryana
TRP007075,MANDI023,WH-West,19/06/2026,2026-06-19T22:01:06,6.4,362.6,km,PB 48 DF 3590,,362.6,2026-06-19 00:00:00,2026-06-19 22:01:06,9.1,0.0,False,Panihati APMC,Karnal,Haryana
TRP002222,MANDI033,WH-North,02-May-2026 10:12:36,02/05/2026 22:12,12.0,549.5,km,DL55 BC 7556,DRV662,549.5,2026-05-02 10:12:36,2026-02-05 22:12:00,13.2,0.0,False,South Dumdum Grain Market,Ambala,Haryana
TRP004565,MANDI054,WH-West,05/09/2026 10:36,05/09/2026 20:00,9.4,424.8,km,PB 83 DF 2210,DRV201,424.8,2026-05-09 10:36:00,2026-05-09 20:00:00,10.4,0.0,False,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
TRP008152,MANDI019,WH-Central,02/05/2026 09:15,02/05/2026 18:45,9.5,553.3,km,PB 53 AB 4593,DRV920,553.3,2026-02-05 09:15:00,2026-02-05 18:45:00,13.3,0.0,False,Karimnagar Grain Market,Moga,Punjab
TRP000484,MANDI018,Export-Terminal,02-Aug-2026 03:53:48,02-Aug-2026 19:35:48,15.7,798.0,km,PB 65 AB 4841,,798.0,2026-08-02 03:53:48,2026-08-02 19:35:48,18.7,0.0,False,Jaunpur Mandi,Moga,Punjab
TRP006460,MANDI011,WH-East,13-Jul-2026 10:12:45,2026-07-13 15:30:45,5.3,275.0,km,DL 48 CD 9566,DRV803,275.0,2026-07-13 10:12:45,2026-07-13 15:30:45,7.1,0.0,False,Arrah Mandi,Patiala,Punjab
TRP005643,MANDI009,WH-Central,2026-06-20T11:25:40,06-21-2026 12:31 AM,13.1,716.3,km,HR 45 AB 2105,DRV326,716.3,2026-06-20 11:25:40,2026-06-21 00:31:00,16.9,0.0,False,Jamshedpur APMC,Jalandhar,Punjab
TRP005033,MANDI048,WH-East,09/09/2026 14:19,10/09/2026,13.5,716.4,km,,DRV415,716.4,2026-09-09 14:19:00,2026-10-09 00:00:00,16.9,0.0,False,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,27-Jun-2026 03:45:28,21.4,1000.8,km,HR 67 CD 5973,DRV626,1000.8,2026-06-26 06:21:28,2026-06-27 03:45:28,23.2,0.0,False,Parbhani Market,Patiala,Punjab
TRP003149,MANDI033,WH-North,01-01-2026 11:16 AM,,7.7,316.5 KM,,PB 62 CD 5129,DRV342,250.0,2026-01-01 11:16:00,,6.6,1.1,True,South Dumdum Grain Market,Ambala,Haryana
TRP009930,MANDI048,WH-South,09/02/2026 05:25,,13.1,486.0,km,UP 40 DF 1180,DRV783,486.0,2026-09-02 05:25:00,,11.8,1.3,True,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
TRP008787,MANDI022,WH-South,05-20-2026 08:31 PM,2026-05-21T01:13:44,4.7,244.3,km,HR 57 BC 1128,DRV403,244.3,2026-05-20 20:31:00,2026-05-21 01:13:44,6.4,0.0,False,Eluru APMC,Karnal,Haryana
TRP005653,MANDI032,WH-South,09/06/2026,10/06/2026,17.2,608.7571687000001,miles,HR 49 CD 3613,DRV654,979.7,2026-09-06 00:00:00,2026-10-06 00:00:00,22.8,0.0,False,Chapra Grain Market,Ambala,Haryana
TRP008175,MANDI047,WH-North,01-12-2026 07:55 PM,13-Jan-2026 19:07:03,23.2,630.0080569,miles,HR 39 AB 7971,DRV497,1013.9,2026-01-12 19:55:00,2026-01-13 19:07:03,23.5,0.0,False,Orai Market,Muzaffarnagar,Uttar Pradesh
TRP005795,MANDI020,WH-South,2026-06-21T11:39:44,,23.6,1390.6,km,,DRV947,1390.6,2026-06-21 11:39:44,,31.9,0.0,False,Kadapa Mandi,Ferozepur,Punjab
TRP005283,MANDI039,WH-West,08/07/2026 22:27,09/07/2026,9.0,315.7,km,HR39 CD 5921,DRV622,315.7,2026-08-07 22:27:00,2026-09-07 00:00:00,8.0,1.0,False,Anand Grain Market,Kurukshetra,Haryana
TRP004378,MANDI035,WH-East,20-Mar-2026 23:11:29,2026-03-21T05:11:29,6.0,207.60005110000003,miles,HR74 CD 9527,DRV270,334.1,2026-03-20 23:11:29,2026-03-21 05:11:29,8.4,0.0,False,Guntakal Mandi,Ambala,Haryana
TRP007392,MANDI025,WH-Central,14/05/2026,2026-05-15 03:54:19,27.9,538.5,km,RJ 62 CD 6359,DRV958,538.5,2026-05-14 00:00:00,2026-05-15 03:54:19,13.0,14.9,True,Dindigul APMC,Karnal,Haryana
TRP001559,MANDI041,WH-South,27/05/2026 20:11,2026-05-28 09:29:32,13.3,671.1,km,UP 60 CD 2446,DRV650,671.1,2026-05-27 20:11:00,2026-05-28 09:29:32,15.9,0.0,False,Gurgaon Grain Market,Fatehabad,Haryana
TRP001433,MANDI029,WH-West,2026-06-21T01:20:44,21-Jun-2026 06:08:44,4.8,261.7,km,UP 39 BC 3131,DRV765,261.7,2026-06-21 01:20:44,2026-06-21 06:08:44,6.8,0.0,False,Asansol Grain Market,Sirsa,Haryana
TRP000040,MANDI006,WH-South,24/01/2026 07:05,24-Jan-2026 22:23:42,15.3,877.8,km,UP24 BC 3811,DRV670,877.8,2026-01-24 07:05:00,2026-01-24 22:23:42,20.5,0.0,False,Kochi Mandi,Amritsar,Punjab
TRP003996,MANDI008,WH-East,08-20-2026 08:06 PM,2026-08-21 09:48:28,13.7,715.6,km,HR93 DF 5165,,715.6,2026-08-20 20:06:00,2026-08-21 09:48:28,16.9,0.0,False,Bijapur Market,Amritsar,Punjab
TRP007461,MANDI004,WH-West,08/06/2026,,21.1,995.7,km,PB 71 BC 6631,,995.7,2026-08-06 00:00:00,,23.1,0.0,False,Khandwa Grain Market,Ludhiana,Punjab
TRP005973,MANDI048,Export-Terminal,19/06/2026 13:25,20-Jun-2026 02:49:57,13.4,399.8522385,miles,DL 70 CD 1378,DRV423,643.5,2026-06-19 13:25:00,2026-06-20 02:49:57,15.3,0.0,False,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
TRP005174,MANDI054,WH-Central,05-18-2026 01:05 PM,05-19-2026 03:29 AM,14.4,835.5,km,HR75 AB 3097,DRV499,835.5,2026-05-18 13:05:00,2026-05-19 03:29:00,19.6,0.0,False,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh
TRP000961,MANDI043,WH-North,07/01/2026 21:56,2026-01-08T18:02:05,20.1,723.3379811,miles,DL 61 BC 2591,DRV807,1164.1,2026-07-01 21:56:00,2026-01-08 18:02:05,26.9,0.0,False,Danapur Mandi,Agra,Uttar Pradesh
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,10-Apr-2026 20:33:27,10.1,585.5,km,,DRV613,585.5,2026-04-10 10:27:27,2026-04-10 20:33:27,14.0,0.0,False,Jamshedpur APMC,Jalandhar,Punjab
TRP007465,MANDI044,Export-Terminal,2026-02-07T19:51:11,08/02/2026 13:39,17.8,519.0311963,miles,RJ45 AB 4860,DRV224,835.3,2026-02-07 19:51:11,2026-08-02 13:39:00,19.6,0.0,False,Dehri Mandi,Agra,Uttar Pradesh
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,km,DL 75 CD 5891,,110.1,2026-05-06 23:18:42,2026-05-07 01:36:42,3.4,0.0,False,Anand Grain Market,Kurukshetra,Haryana
TRP008147,MANDI019,WH-North,28-May-2026 13:14:44,2026-05-29T05:32:44,16.3,551.0939399,miles,HR 30 BC 9997,DRV384,886.9,2026-05-28 13:14:44,2026-05-29 05:32:44,20.7,0.0,False,Karimnagar Grain Market,Moga,Punjab
TRP006177,MANDI036,WH-West,04/01/2026 18:01,2026-01-04 22:07:19,4.1,196.7 KM,,PB 73 AB 4041,DRV497,250.0,2026-04-01 18:01:00,2026-01-04 22:07:19,6.6,0.0,False,Mysore Grain Market,Kurukshetra,Haryana
TRP007259,MANDI048,WH-North,11-Jul-2026 00:39:35,11-Jul-2026 12:51:35,12.2,620.1,km,DL 59 BC 5485,DRV350,620.1,2026-07-11 00:39:35,2026-07-11 12:51:35,14.8,0.0,False,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh
